Omics_Expr
Omics_Protein
AKT1_expr
AXIN2_expr
BAX_expr
BCL2_expr
BCL2L1_expr
BMI1_expr
BMP2_expr
BMP4_expr
BMPR1A_expr
BMPR1B_expr
BMPR2_expr
CASC3_expr
CASP8_expr
CAV1_expr
CCND1_expr
CDK5RAP1_expr
CDKN1B_expr
CDKN2A_expr
CDKN2C_expr
CHRD_expr
CTNNB1_expr
DLL1_expr
DVL1_expr
EGF_expr
EGFR_expr
EP300_expr
EPHA2_expr
ERBB2_expr
FGF2_expr
FOXM1_expr
FZD4_expr
GALC_expr
GDNF_expr
GFAP_expr
GPX1_expr
GSK3B_expr
HDAC4_expr
HEYL_expr
ID1_expr
ID2_expr
ID3_expr
ID4_expr
IKBKG_expr
JAG1_expr
LEF1_expr
LRP6_expr
MAP1A_expr
MAP3K7_expr
MAPK8_expr
MELK_expr
MIF_expr
MKI67_expr
MSL1_expr
MTOR_expr
MYC_expr
NCOR1_expr
NDP_expr
NEDD4_expr
NES_expr
NEUROD1_expr
NOTCH2_expr
NPM1_expr
OLIG2_expr
PLAU_expr
PLCG1_expr
PRKAA1_expr
PROM1_expr
PTCH1_expr
PXN_expr
RBPJ_expr
SKI_expr
SMAD4_expr
SMAD5_expr
SMAD6_expr
SMAD9_expr
SMURF1_expr
SNAL1_expr
SOD1_expr
SOD2_expr
SOX2_expr
TAB1_expr
TGFB1_expr
TGFB2_expr
TRADD_expr
TUBB3_expr
TWSG1_expr
VIM_expr
XIAP_expr
APC_protein
APP_protein
AURKB_protein
AXIN1_protein
BCL6_protein
BIRC5_protein
CASP8_protein
CASPR1_protein
CAV1_protein
CC2_protein
CCNE1_protein
CDCP1_protein
CDKN1A_protein
CDKN1B_protein
CDKN2C_protein
CHI3L1_protein
CSF3_protein
CXCL8.IL.8_protein
DCC_protein
DKK1_protein
E2F4_protein
EGF_protein
EGFR_protein
EIF4B_protein
EPHA2_protein
ERBB2_protein
F2R_protein
FADD_protein
FAS_protein
FLT3_protein
FN1_protein
GFAP_protein
GLI2_protein
GLI3_protein
GPNMB_protein
HGF_protein
HMOX1_protein
HS1_protein
ID1_protein
IGF1R_protein
IGFBP.2_protein
IGFBP3_protein
IKBKG_protein
IL6R_protein
ITGA1_protein
L1CAM_protein
MELK_protein
MET_protein
MGMT_protein
MIF_protein
MKI67_protein
NCAM1_protein
NF1_protein
NOTCH1_protein
NPM1_protein
PDGFRB_protein
PLAU_protein
PLCG1_protein
PMP2_protein
PXN_protein
SERPINE1_protein
SI1_protein
SMAD1_protein
SMAD4_protein
SOD1_protein
SOD2_protein
SOX2_protein
SOX21_protein
SOX9_protein
TENASCIN.C_protein
TGFB1_protein
THY1_protein
TNFRSF10B_protein
TNFRSF1A_protein
TP53_protein
VEGFA_protein
VIM_protein
XIAP_protein
u3035_6d_contol_A02
u3035_6d_contol_A03
u3035_6d_contol_A04
u3035_6d_contol_A05
u3035_6d_contol_A06
u3035_6d_contol_A07
u3035_6d_contol_A08
u3035_6d_contol_A09
u3035_6d_contol_A10
u3035_6d_contol_A11
u3035_6d_contol_A12
u3035_6d_contol_B02
u3035_6d_contol_B03
u3035_6d_contol_B04
u3035_6d_contol_B05
u3035_6d_contol_B06
u3035_6d_contol_B07
u3035_6d_contol_B08
u3035_6d_contol_B09
u3035_6d_contol_B10
u3035_6d_contol_B11
u3035_6d_contol_B12
u3035_6d_contol_C01
u3035_6d_contol_C02
u3035_6d_contol_C03
u3035_6d_contol_C04
u3035_6d_contol_C05
u3035_6d_contol_C08
u3035_6d_contol_C09
u3035_6d_contol_C10
u3035_6d_contol_C11
u3035_6d_contol_C12
u3035_6d_contol_D01
u3035_6d_contol_D02
u3035_6d_contol_D03
u3035_6d_contol_D04
u3035_6d_contol_D12
u3035_6d_contol_E03
u3035_6d_contol_E04
u3035_6d_contol_E05
u3035_6d_contol_E09
u3035_6d_contol_E10
u3035_6d_contol_E11
u3035_6d_contol_E12
u3035_6d_contol_F03
u3035_6d_contol_F04
u3035_6d_contol_F05
u3035_6d_contol_F06
u3035_6d_contol_F07
u3035_6d_contol_F08
u3035_6d_contol_F10
u3035_6d_contol_F11
u3035_6d_contol_F12
u3035_6d_contol_H03
u3035_6d_contol_H04
u3035_6d_contol_H05
u3035_6d_contol_H06
u3035_6d_contol_H07
u3035_6d_contol_H09
u3035_6d_contol_H10
u3035_6d_contol_H11
u3035_6d_contol_H12
u3035_6d_BMP4_A05
u3035_6d_BMP4_A06
u3035_6d_BMP4_A08
u3035_6d_BMP4_A09
u3035_6d_BMP4_A10
u3035_6d_BMP4_A11
u3035_6d_BMP4_A12
u3035_6d_BMP4_B02
u3035_6d_BMP4_B04
u3035_6d_BMP4_B05
u3035_6d_BMP4_B06
u3035_6d_BMP4_B07
u3035_6d_BMP4_B08
u3035_6d_BMP4_B09
u3035_6d_BMP4_B10
u3035_6d_BMP4_B11
u3035_6d_BMP4_C02
u3035_6d_BMP4_C03
u3035_6d_BMP4_C04
u3035_6d_BMP4_C05
u3035_6d_BMP4_C07
u3035_6d_BMP4_C08
