Omics_Expr
Omics_Methy
AFP_expr
BMP7_expr
CDH1_expr
CDX2_expr
CER1_expr
DAZL_expr
DNMT3B_expr
DNMT3L_expr
FGF4_expr
FOSL1_expr
HAND1_expr
IGF2_expr
JARID2_expr
KCNQ2_expr
LEFTY_expr
LUM_expr
MMP9_expr
MYC_expr
NANOG_expr
NESTIN_expr
NKX2-5_expr
OCT4_expr
OTX2_expr
PRDM14_expr
SALL4_expr
SOX2_expr
TBX3_expr
TFAP2A_expr
TFCP2L1_expr
TGFBR2_expr
WNT10B_expr
ZFP42_expr
ZIC3_expr
ZSCAN18_expr
ADAM33_methy
AK123759_methy
ALDH3A1 _methy
CDH22_methy
CHL1_methy
COL20A1_methy
COL23A1_methy
CYBRD1_methy
DPPA3_methy
EPHB3_methy
FOXD2_methy
HLX-AS1_methy
KCNQ2_methy
LTBR_methy
LY86-AS1_methy
NFATC1_methy
NFIX_methy
NXRA8_methy
PIWIL1_methy
PLEKHH3_methy
STON2P1_methy
SULT1A1_methy
TFAP2A_methy
TMEM173_methy
TNNI3_methy
UNC45A_methy
ZNF662_methy
BJ_2
BJ_44
BJ_11
BJ_14
BJ_19
BJ_41
BJ_22
BJ_1
BJ_34
BJ_8
BJ_4
BJ_21
BJ_18
BJ_15
BJ_24
BJ_31
BJ_35
BJ_13
BJ_12
BJ_40
BJ_17
BJ_29
BJ_5
BJ_9
BJ_23
BJ_25
BJ_3
BJ_28
BJ_37
BJ_32
BJ_26
BJ_27
BJ_7
BJ_46
BJ_43
d8_8
d8_19
d8_34
d8_25
d8_16
d8_3
d8_13
d8_22
d8_27
d8_26
d8_43
d8_40
d8_35
d8_5
d8_38
d8_12
d8_14
d8_17
d8_44
d8_1
d8_29
d8_37
d8_2
d8_21
d8_10
d8_30
d8_32
d8_7
d8_18
d8_9
d8_39
d8_24
d8_33
d8_23
d8_11
d8_46
d8_28
d8_45
d8_4
d8_41
d16T-_1
d16T-_4
d16T-_8
d16T-_5
d16T-_7
d16T-_12
d16T-_6
d16T-_16
d16T-_2
d16T-_9
d16T-_11
d16T-_15
d16T-_10
d16T+_15
d16T+_11
d16T+_13
d16T+_9
d16T+_28
d16T+_7
d16T+_2
d16T+_1
d16T+_23
d16T+_33
d16T+_3
d16T+_19
d16T+_17
d16T+_14
d16T+_29
d16T+_31
d16T+_24
d16T+_18
d16T+_32
d16T+_6
d16T+_20
d16T+_36
d16T+_12
d16T+_4
d16T+_34
d16T+_26
d16T+_21
d16T+_5
d16T+_16
d16T+_22
d16T+_10
d16T+_25
d24T-_26
d24T-_43
d24T-_44
d24T-_M1
d24T-_M2
d24T-_32
d24T-_37
d24T-_46
d24T-_34
d24T-_M3
d24T+_M15
d24T+_M6
d24T+_M3
d24T+_3
d24T+_21
d24T+_M16
d24T+_M9
d24T+_9
d24T+_M5
d24T+_M4
d24T+_17
d24T+_2
d24T+_M2
d24T+_M17
d24T+_1
d24T+_M23
d24T+_M10
d24T+_M7
d24T+_24
d24T+_5
d24T+_10
d24T+_7
d24T+_15
d24T+_M11
d24T+_M21
d24T+_M20
d24T+_M14
d24T+_18
d24T+_M18
d24T+_8
d24T+_19
d24T+_23
d24T+_13
d24T+_M12
d24T+_20
d24T+_22
IPS_36
IPS_35
IPS_25
IPS_6
IPS_1
IPS_37
IPS_27
IPS_5
IPS_4
IPS_2
IPS_31
IPS_44
IPS_38
IPS_7
IPS_22
IPS_26
IPS_10
IPS_13
IPS_17
IPS_24
IPS_23
IPS_11
IPS_20
IPS_19
IPS_32
IPS_12
IPS_16
IPS_39
IPS_3
IPS_8
IPS_45
IPS_34
IPS_40
IPS_21
ES_17
ES_8
ES_12
ES_5
ES_11
ES_24
ES_19
ES_10
ES_13
ES_2
ES_9
ES_6
ES_21
ES_14
ES_16
ES_18
ES_22
ES_7
ES_1
ES_25
ES_20
ES_3
ES_4
ES_15
